Dataset,Image,Full,SSIM,Random1 - SSIM,Random2 - SSIM,Random3 - SSIM,Random4 - SSIM,Random5 - SSIM,Euclidean,Random1 - Euclidean,Random2 - Euclidean,Random3 - Euclidean,Random4 - Euclidean,Random5 - Euclidean,,,,,,,,,,,,
,p08,89.0769,88.732,47.6848,87.3405,88.2845,86.9962,87.7309,87.7296,88.5465,88.598,87.2699,86.1145,87.3299,,,,,,,,,,,,
DIBCO 12,h01,97.36,95.9757,96.4882,95.6861,96.1526,96.7939,96.8404,96.4078,95.8873,97.0757,96.5698,97.7222,96.7185,,,,,,,,,,,,
,h02,95.4077,94.2111,95.1174,95.0794,95.3479,96.1945,94.6233,92.8763,95.6711,95.8813,95.463,95.4485,95.7584,,,,,,,,,,,,
,h03,90.9171,84.8274,90.6688,84.0434,89.8623,93.7833,89.1946,89.9616,92.3568,90.9609,88.1965,90.1356,91.7439,,,,,,,,,,,,
,h04,93.8652,93.7342,93.3282,93.5185,92.097,95.4545,94.4371,93.5587,94.8588,95.5707,95.5155,95.3005,94.0849,,,,,,,,,,,,
,h05,95.719,95.8906,95.0028,95.938,95.5456,96.3825,95.5683,95.5891,96.0521,97.0697,96.8518,95.7934,96.4883,,,,,,,,,,,,
,h06,95.4199,95.1415,95.4911,95.1566,95.085,95.9939,94.7659,95.6261,95.581,96.7912,95.8718,95.0052,96.4843,,,,,,,,,,,,
,h07,96.1184,95.0675,95.3513,96.1394,95.3455,95.9541,95.9484,95.8815,96.295,95.9916,96.5059,96.0235,95.3813,,,,,,,,,,,,
,h08,96.7962,95.8285,94.1328,95.1733,93.6261,97.4562,96.4675,95.9595,97.1829,96.2066,97.2591,93.4024,98.1791,,,,,,,,,,,,
,h09,97.6959,96.5367,96.9549,96.4868,96.9047,97.7792,96.5114,97.1238,97.5632,96.979,96.7201,97.5584,97.3359,,,,,,,,,,,,
,h10,96.9673,95.5989,97.2768,96.0765,96.5195,97.6348,96.4252,96.1883,97.1535,96.7931,96.8374,97.1548,97.2511,,,,,,,,,,,,
,h11,95.8033,91.3881,95.881,95.6889,94.9043,96.4763,95.8688,96.4815,94.4794,97.0793,95.8928,96.0537,95.8432,,,,,,,,,,,,
,h12,95.9216,95.6135,94.694,95.5519,94.7456,96.0147,96.2419,95.7675,96.6962,96.8752,97.1633,96.0024,96.7862,,,,,,,,,,,,
,h13,95.9737,95.7843,95.2503,95.839,95.7412,96.8359,95.9741,95.9523,96.4547,96.4582,96.6466,96.9967,97.0042,,,,,,,,,,,,
,h14,97.7845,97.4351,97.3698,97.8667,96.9037,97.6162,97.945,98.273,97.3858,98.0919,98.4794,98.1107,97.9364,,,,,,,,,,,,
DIBCO 13,h01,97.5527,96.6193,96.5546,97.4659,96.9249,97.6268,97.6148,97.6091,97.4339,97.2445,97.2828,97.4377,97.4945,,,,,,,,,,,,
,h02,96.9203,96.0765,95.2073,97.1228,96.4378,97.0535,95.9601,96.8583,96.782,97.6806,95.8894,98.2392,96.0515,,,,,,,,,,,,
,h03,98.2519,97.4846,96.8933,98.0194,97.6937,97.8704,97.6415,98.3163,98.344,97.9098,98.0379,98.165,97.9511,,,,,,,,,,,,
,h04,98.9826,98.7808,98.4865,99.0088,99.1192,98.6362,99.0074,99.1154,98.8854,98.638,98.9371,99.2472,98.8684,,,,,,,,,,,,
,h05,97.701,97.9779,95.8954,96.541,97.4665,95.319,97.2701,98.0006,97.4224,96.1478,97.6638,98.1202,97.0183,,,,,,,,,,,,
,h06,99.0151,98.3511,98.0563,99.0798,99.0492,98.6589,98.9828,99.3095,99.1316,99.0445,98.8815,99.1697,98.7424,,,,,,,,,,,,
,h07,91.3074,87.8482,90.5847,90.7124,91.1919,89.8668,91.2885,91.6842,92.8728,91.3648,92.217,93.5445,91.1757,,,,,,,,,,,,
,h08,98.3932,98.098,98.0783,98.5456,98.5577,98.1405,98.5213,98.6311,98.2686,98.7677,98.4172,98.52,98.2,,,,,,,,,,,,
,p01,96.0321,96.4533,94.4282,96.6126,96.7819,96.3455,96.9993,97.1788,96.8314,96.3334,97.2144,97.6618,96.8949,,,,,,,,,,,,
,p02,97.8068,97.6573,97.4749,98.1134,97.9837,97.1106,98.2125,98.5637,97.5973,97.6345,98.3006,98.5134,97.8481,,,,,,,,,,,,
,p03,96.7296,95.7429,96.7548,97.9551,96.5602,97.0788,98.61,98.4928,97.8561,97.963,96.5668,98.565,96.661,,,,,,,,,,,,
,p04,91.2404,94.6054,93.1273,95.6832,93.3926,92.9495,95.2573,95.8325,95.7725,93.8005,93.743,94.8126,91.6739,,,,,,,,,,,,
,p05,96.3661,96.1283,95.3291,96.9649,96.5251,96.412,96.8581,97.2086,96.0882,95.9147,96.9938,96.9514,96.7167,,,,,,,,,,,,
,p06,83.3413,81.1728,78.8617,80.2463,80.9948,80.444,78.952,82.1517,78.7611,80.3651,80.8636,84.6536,82.978,,,,,,,,,,,,
,p07,97.2206,96.6683,96.4024,97.6162,97.507,97.2776,97.7818,98.0411,96.8895,97.2886,97.6951,98.0571,97.2922,,,,,,,,,,,,
,p08,95.2204,95.4478,95.2783,95.98,96.0991,94.8582,94.821,96.2723,95.6318,94.9777,96.4927,96.894,95.1893,,,,,,,,,,,,
DIBCO 14,h01,98.2499,97.8593,97.0195,98.0548,97.926,98.4819,98.3114,98.173,98.4035,98.5587,97.9971,98.2138,98.1028,,,,,,,,,,,,
,h02,97.8697,96.084,96.539,97.5456,97.4356,97.4639,97.5527,97.2338,97.3029,97.8272,97.2563,97.6279,97.3493,,,,,,,,,,,,
,h03,99.3779,98.5474,98.8251,98.9356,98.9939,99.0473,99.1918,99.1446,98.7393,99.3822,99.3465,99.5473,99.198,,,,,,,,,,,,
,h04,99.0144,98.6035,98.494,98.8633,98.4698,99.0107,98.8655,98.8982,99.0537,98.9322,98.8246,99.0786,98.7688,,,,,,,,,,,,
,h05,98.2424,97.8202,96.7138,97.5526,96.8752,97.1362,98.0683,97.8342,97.7002,97.8208,98.1393,97.9096,97.6112,,,,,,,,,,,,
,h06,83.3944,58.0312,47.757,65.4122,73.9606,51.5179,60.8878,80.4189,74.0518,84.4632,78.9929,87.1515,80.1731,,,,,,,,,,,,
,h07,96.5405,95.6504,96.3541,97.2386,96.4974,97.3761,97.0143,96.7333,97.2784,97.7498,96.1412,97.8601,97.5801,,,,,,,,,,,,
,h08,98.8557,97.4172,97.9037,98.5234,98.0899,98.7443,98.856,98.5475,98.496,98.8836,98.5712,99.0231,98.6029,,,,,,,,,,,,
,h09,98.7037,97.3543,97.6902,98.531,98.177,98.4445,98.734,98.1874,98.5267,98.6584,98.3254,98.9076,98.5941,,,,,,,,,,,,
,h10,98.7005,98.1609,97.8629,98.6948,98.3789,98.6968,98.7635,98.4005,98.6674,98.6648,98.2537,98.7493,98.6167,,,,,,,,,,,,
DIBCO 16,h01,96.5244,96.1928,96.6735,96.6931,96.3017,96.2844,96.9561,95.9198,96.3439,96.3908,95.8582,96.1896,95.8118,,,,,,,,,,,,
,h02,94.9061,93.9567,89.3777,93.1134,92.0787,88.5047,93.8452,94.8594,94.5121,94.8395,95.1928,92.4953,93.9287,,,,,,,,,,,,
,h03,96.8584,95.5121,94.7585,95.6533,93.4855,92.6549,96.1801,96.7241,97.0307,95.0928,94.9378,94.5253,96.2252,,,,,,,,,,,,
,h04,93.7012,93.6297,93.2784,92.7123,92.7526,93.8695,93.6456,93.9548,93.5563,94.2047,94.3703,93.1252,92.7197,,,,,,,,,,,,
,h05,96.9491,96.6881,96.2122,96.8311,96.4883,96.1952,96.7089,96.7732,97.2707,96.6078,96.7452,96.1977,96.5082,,,,,,,,,,,,
,h06,93.5238,91.6798,91.4135,88.8927,86.2458,92.925,92.5877,93.7485,95.6569,91.3603,93.2305,91.5179,92.8718,,,,,,,,,,,,
,h07,98.5462,98.2567,98.5785,98.3408,98.5899,98.3824,98.037,98.2101,98.2989,97.6207,98.3225,98.8934,98.6596,,,,,,,,,,,,
,h08,89.1547,90.2842,88.1377,90.629,89.8756,89.5341,90.1401,91.0633,90.3796,89.6701,89.1807,88.9897,89.5255,,,,,,,,,,,,
,h09,87.2998,87.3378,86.9828,87.8501,87.1591,86.3832,87.3305,87.6207,88.2022,87.2151,87.769,87.4836,87.149,,,,,,,,,,,,
,h10,86.1103,85.4769,83.8341,85.7329,84.3378,82.6521,85.1576,86.1893,84.3383,83.6242,84.5252,85.3555,82.9699,,,,,,,,,,,,
DIBCO 17,h01,91.856,87.9703,90.3892,88.5499,88.9597,89.0146,90.678,91.5579,91.9412,88.796,91.9211,92.4948,92.3007,,,,,,,,,,,,
